Pred_Rank,Player
1,Christian McCaffrey
2,Bijan Robinson
3,Breece Hall
4,Jonathan Taylor
5,Saquon Barkley
6,Kyren Williams
7,Derrick Henry
8,"Jahmyr Gibbs,"
9,Isiah Pacheco
10,Travis Etienne Jr.
11,Rachaad White
12,Josh Jacobs
13,Kenneth Walker III
14,James Cook
15,Joe Mixon
16,Alvin Kamara
17,De'Von Achane
18,D'Andre Swift
19,James Conner
20,Rhamondre Stevenson
21,Najee Harris
22,Zamir White
23,Aaron Jones
24,David Montgomery
25,Brian Robinson Jr.
26,Javonte Williams
27,Tony Pollard
28,Raheem Mostert
29,Devin Singletary
30,Tyjae Spears
31,Jaylen Warren
32,Ezekiel Elliott
33,Chase Brown
34,Austin Ekeler
35,Gus Edwards
36,Zack Moss
37,J.K. Dobbins
38,Nick Chubb
39,Chuba Hubbard
40,Ty Chandler
41,Jerome Ford
42,Zach Charbonnet
43,Tyler Allgeier
44,Jaleel McLaughlin
45,Rico Dowdle
46,Antonio Gibson
47,Khalil Herbert
48,Jordan Mason
49,Miles Sanders
50,Clyde Edwards-Helaire
51,Samaje Perine
52,Jamaal Williams
53,Alexander Mattison
